,cluster,nodes_lat,nodes_lon
0,5,70.0,18.5
1,5,70.0,19.0
2,5,70.0,19.5
3,5,70.0,20.0
4,5,70.0,20.5
5,5,70.0,21.0
6,5,70.0,21.5
7,5,70.0,22.0
8,5,70.0,22.5
9,5,70.0,23.0
10,5,70.0,23.5
11,5,70.0,24.0
12,5,70.0,24.5
13,5,70.0,25.0
14,5,70.0,25.5
15,5,70.0,26.0
16,5,70.0,26.5
17,5,70.0,27.0
18,5,70.0,27.5
19,5,70.0,28.0
20,5,70.0,28.5
21,5,70.0,29.0
22,5,70.0,29.5
23,5,70.0,30.0
24,5,70.0,30.5
25,5,70.0,32.0
26,5,70.0,32.5
27,5,69.5,17.5
28,5,69.5,18.0
29,5,69.5,18.5
30,5,69.5,19.0
31,5,69.5,19.5
32,5,69.5,20.0
33,5,69.5,20.5
34,5,69.5,21.0
35,5,69.5,21.5
36,5,69.5,22.0
37,5,69.5,22.5
38,5,69.5,23.0
39,5,69.5,23.5
40,5,69.5,24.0
41,5,69.5,24.5
42,5,69.5,25.0
43,5,69.5,25.5
44,5,69.5,26.0
45,5,69.5,26.5
46,5,69.5,27.0
47,5,69.5,27.5
48,5,69.5,28.0
49,5,69.5,28.5
50,5,69.5,29.0
51,5,69.5,29.5
52,5,69.5,30.0
53,5,69.5,30.5
54,5,69.5,31.0
55,5,69.5,31.5
56,5,69.5,32.0
57,5,69.5,32.5
58,5,69.5,33.0
59,5,69.5,33.5
60,5,69.5,34.0
61,5,69.5,34.5
62,5,69.5,35.0
63,5,69.0,15.5
64,5,69.0,16.0
65,5,69.0,17.5
66,5,69.0,18.0
67,5,69.0,18.5
68,5,69.0,19.0
69,5,69.0,19.5
70,5,69.0,20.0
71,5,69.0,20.5
72,5,69.0,21.0
73,5,69.0,21.5
74,5,69.0,22.0
75,5,69.0,22.5
76,5,69.0,23.0
77,5,69.0,23.5
78,5,69.0,24.0
79,5,69.0,24.5
80,5,69.0,25.0
81,5,69.0,25.5
82,5,69.0,26.0
83,5,69.0,26.5
84,5,69.0,27.0
85,5,69.0,27.5
86,5,69.0,28.0
87,5,69.0,28.5
88,5,69.0,29.0
89,5,69.0,29.5
90,5,69.0,30.0
91,5,69.0,30.5
92,5,69.0,31.0
93,5,69.0,31.5
94,5,69.0,32.0
95,5,69.0,32.5
96,5,69.0,33.0
97,5,69.0,33.5
98,5,69.0,34.0
99,5,69.0,34.5
100,5,69.0,35.0
101,5,69.0,35.5
102,5,69.0,36.0
103,5,69.0,36.5
104,5,68.5,14.5
105,5,68.5,15.0
106,5,68.5,15.5
107,5,68.5,16.0
108,5,68.5,16.5
109,5,68.5,17.0
110,5,68.5,17.5
111,5,68.5,18.0
112,5,68.5,18.5
113,5,68.5,19.0
114,5,68.5,19.5
115,5,68.5,20.0
116,5,68.5,20.5
117,5,68.5,21.0
118,5,68.5,21.5
119,5,68.5,22.0
120,5,68.5,22.5
121,5,68.5,23.0
122,5,68.5,23.5
123,5,68.5,24.0
124,5,68.5,24.5
125,5,68.5,25.0
126,5,68.5,25.5
127,5,68.5,26.0
